purchase_id,customer_id,product_id,purchase_date,quantity,total_amount
18285,6201,1928,2024-01-07,7,254.59
4645,4700,1037,2024-06-14,8,561.76
11115,9542,268,2024-01-31,3,278.37
10388,2630,139,2024-05-23,9,180.99
5224,695,352,2024-05-01,1,47.13
3239,8375,1665,2024-01-02,3,101.25
13364,4829,1145,2024-03-29,8,104.8
10316,5557,280,2024-06-06,1,58.74
4889,2747,1614,2024-03-19,5,392.35
11652,2374,514,2024-04-10,3,111.42
10876,7759,1760,2024-06-15,10,457.7
17920,6091,126,2024-01-20,1,23.24
1687,716,197,2024-01-11,4,215.44
11855,5525,452,2024-01-16,2,74.44
18984,8390,557,2024-02-16,1,13.63
11812,8728,374,2024-03-20,7,194.74
3475,8138,929,2024-04-18,3,70.83
14410,7216,591,2024-04-27,9,887.76
16439,4558,1035,2024-04-01,2,144.06
13025,7248,1565,2024-03-27,3,103.41
18166,5866,1151,2024-04-13,4,325.08
15346,6924,1062,2024-02-26,9,700.56
7040,260,1847,2024-04-18,3,30.51
5669,7067,668,2024-02-14,6,250.44
15528,838,1702,2024-06-20,6,482.4
11348,8982,1412,2024-06-22,10,619.4
16672,3170,161,2024-02-21,1,38.5
1432,9170,868,2024-01-03,9,585.63
447,8535,1559,2024-04-08,6,249.18
90,1373,516,2024-05-16,8,682.96
17028,3568,547,2024-03-07,4,62.56
12011,2571,275,2024-02-01,5,169.55
14644,9008,361,2024-06-16,4,273.48
9672,3847,1233,2024-01-02,3,288.69
2381,7586,374,2024-01-20,8,222.56
18594,7912,11,2024-04-23,7,657.58
15461,7033,1275,2024-06-01,3,125.16
2464,5958,1045,2024-05-28,10,762.9
15457,9359,361,2024-01-13,5,341.85
12913,8228,675,2024-01-25,7,118.44
1577,6552,54,2024-05-25,8,362.8
15782,8344,1862,2024-04-22,1,68.63
19731,6921,1161,2024-03-28,4,197.2
2531,5481,706,2024-06-08,2,168.42
10592,677,687,2024-01-03,5,103.75
17756,45,1067,2024-03-22,4,311.84
5697,5417,19,2024-03-07,2,22.3
3984,4983,571,2024-01-11,7,140.98
19403,4502,1749,2024-03-15,3,170.61
5648,3302,1095,2024-03-11,9,706.77
12963,4168,1164,2024-02-28,5,268.95
11929,7695,1646,2024-05-29,10,650.7
16921,4527,1346,2024-03-28,3,242.52
4932,1092,1931,2024-05-02,10,219.9
1828,4733,1409,2024-06-16,2,36.12
17813,7543,863,2024-05-21,4,63.44
8998,4686,958,2024-01-24,8,733.68
12729,3001,738,2024-02-29,7,402.43
4223,140,678,2024-01-31,10,519.7
9680,2389,578,2024-02-25,5,117.2
2733,3445,410,2024-03-28,2,133.68
9572,2748,187,2024-04-26,7,106.89
3583,942,83,2024-02-10,7,382.27
6295,8185,659,2024-04-01,9,278.1
7619,2376,36,2024-01-03,4,65.4
7894,98,800,2024-06-15,6,292.08
18130,545,202,2024-05-22,6,340.98
14408,9547,549,2024-03-17,4,276.2
9418,1380,761,2024-04-25,5,296.6
1880,6460,1660,2024-05-01,9,461.07
18697,2181,1795,2024-02-05,3,132.81
15637,5911,362,2024-03-30,6,551.22
16107,8612,1692,2024-06-03,8,303.76
5027,8318,571,2024-01-27,10,201.4
19754,8342,318,2024-06-06,8,738.56
19429,1821,1418,2024-01-07,5,134.2
6212,910,1239,2024-03-09,1,25.73
10740,73,1294,2024-04-08,4,80.52
4734,2203,1755,2024-04-18,4,309.8
19528,8077,1003,2024-03-30,9,770.22
2476,1003,1789,2024-04-02,6,564.96
8734,1668,1233,2024-03-29,4,384.92
6442,3966,331,2024-05-21,9,124.47
17824,9567,1106,2024-02-29,7,313.25
13188,4604,1111,2024-02-04,4,132.08
11447,5513,1062,2024-05-26,1,77.84
6225,5900,92,2024-01-10,6,580.62
10192,4492,674,2024-02-16,10,313.4
12264,7407,1028,2024-04-17,6,570.12
12102,2161,1649,2024-02-20,1,78.71
13660,5987,1967,2024-01-23,7,228.48
12556,9316,1792,2024-02-03,8,388.48
5193,4280,13,2024-04-13,5,151.7
2653,1830,821,2024-06-02,3,238.8
9931,9079,1251,2024-04-18,5,316.7
1275,9548,1083,2024-03-10,10,862.7
3054,7159,1847,2024-03-11,5,50.85
13388,9315,142,2024-05-12,10,323.5
19013,6321,795,2024-03-16,6,549.48
8276,4689,1545,2024-04-15,7,366.38
5092,5805,1517,2024-04-24,7,319.97
2637,6039,1145,2024-04-27,9,117.9
12044,7654,568,2024-03-14,5,470.05
9773,3113,1214,2024-05-28,10,942.1
2303,5642,964,2024-05-11,2,147.06
15072,46,793,2024-05-16,9,667.44
18962,8055,1825,2024-01-20,8,458.56
2701,2972,1511,2024-03-26,3,55.59
13832,3861,894,2024-03-02,3,64.47
1142,9502,212,2024-03-01,7,417.97
1472,7161,1065,2024-02-29,9,285.66
5088,6614,1174,2024-02-13,7,159.67
574,8753,1194,2024-05-31,5,344.2
14273,535,1397,2024-01-29,10,471.9
4472,5818,297,2024-06-07,5,171.1
15735,5143,1430,2024-03-25,9,118.98
14265,4638,85,2024-03-03,10,747.6
15706,2482,1309,2024-05-12,10,443.6
13069,7553,1667,2024-06-06,3,207.36
12867,2897,940,2024-01-01,5,305.05
1954,6282,415,2024-03-24,4,116.36
17298,783,1590,2024-05-15,5,462.8
5384,3087,1692,2024-02-02,3,113.91
7466,5728,426,2024-01-07,10,417.9
11788,9302,1728,2024-05-13,1,96.2
3157,3045,1544,2024-02-18,4,293.92
11068,3021,1790,2024-05-18,7,204.4
12596,3613,370,2024-01-13,1,90.04
15934,5577,123,2024-03-23,4,365.84
4296,6717,834,2024-03-19,4,394.72
3601,8629,675,2024-01-24,1,16.92
11996,2800,1534,2024-03-08,10,566.7
12167,9337,1785,2024-04-07,4,310.44
8594,2023,1958,2024-05-27,8,582.0
9316,1391,1965,2024-03-14,1,65.48
2919,5634,1757,2024-01-22,8,602.96
2856,9083,1587,2024-03-06,6,260.04
13164,6838,1779,2024-05-14,6,81.78
10711,7317,1096,2024-04-15,9,879.21
5366,2886,280,2024-03-27,10,587.4
5380,4051,603,2024-02-26,8,625.12
14597,5386,161,2024-05-26,9,346.5
15917,2847,383,2024-02-14,7,612.08
15124,8166,978,2024-04-01,9,667.08
16390,4721,324,2024-02-17,3,223.08
8625,5606,112,2024-01-21,2,163.9
5111,8967,785,2024-01-11,3,40.02
13079,1495,335,2024-05-04,8,699.36
18778,1126,1792,2024-03-04,9,437.04
12343,2263,1476,2024-05-07,4,234.8
5486,2323,664,2024-03-16,6,98.46
11779,6553,665,2024-04-11,8,667.6
5533,7279,854,2024-05-24,10,515.7
732,8156,1378,2024-05-25,2,65.3
15962,3528,1382,2024-03-15,3,127.08
14304,4828,1106,2024-02-27,3,134.25
9900,8177,1427,2024-05-28,10,116.3
1546,3933,626,2024-05-16,3,66.84
7174,4688,187,2024-05-30,10,152.7
5996,8086,676,2024-04-19,1,99.6
1507,1701,1512,2024-04-19,9,334.8
16935,7963,1597,2024-03-13,9,610.38
12893,1392,939,2024-04-13,8,222.24
19540,96,1430,2024-02-21,4,52.88
4954,6849,423,2024-05-25,5,337.75
17929,3497,800,2024-06-05,6,292.08
12141,821,597,2024-03-08,4,247.28
4135,7125,600,2024-03-07,7,127.61
7941,838,1082,2024-04-09,1,49.33
11137,5830,503,2024-02-14,6,465.42
3962,2233,1777,2024-01-01,2,167.94
1798,9078,644,2024-06-01,9,385.92
1980,8266,73,2024-03-16,5,223.85
8936,9766,1319,2024-04-05,1,95.04
19989,1098,1511,2024-02-05,4,74.12
17439,338,262,2024-01-18,7,263.06
13428,3716,453,2024-01-15,10,626.2
7423,4758,813,2024-03-18,6,139.68
13952,4460,1511,2024-06-12,9,166.77
15205,2967,1016,2024-03-23,1,75.58
3237,4580,626,2024-02-19,10,222.8
5136,1703,129,2024-02-10,8,618.8
17645,6954,140,2024-04-27,3,142.68
443,3302,428,2024-05-04,4,240.44
2679,8893,362,2024-06-11,1,91.87
13249,2271,374,2024-03-08,7,194.74
2796,985,1588,2024-05-06,9,593.91
18328,5303,1420,2024-03-31,4,181.36
17598,9304,1811,2024-01-05,4,122.96
17890,6179,1364,2024-01-07,1,91.17
968,4983,856,2024-04-11,1,99.49
4665,4193,1509,2024-05-18,3,171.96
9912,4521,868,2024-04-11,6,390.42
14021,8664,1732,2024-05-24,4,157.72
7054,8718,742,2024-06-05,1,83.72
15543,5252,214,2024-06-11,2,101.76
3002,2011,1086,2024-04-18,2,29.22
6031,1960,1975,2024-02-23,9,527.58
19340,4502,192,2024-05-09,1,40.75
3127,307,996,2024-03-15,10,397.4
12660,6987,16,2024-05-17,9,93.78
528,8676,1247,2024-03-23,1,99.94
11881,6695,676,2024-05-29,2,199.2
10318,5160,273,2024-01-31,6,401.82
16358,6679,196,2024-03-25,5,269.05
17460,8195,1510,2024-04-25,7,345.1
594,5541,316,2024-06-21,2,55.04
16164,2421,1089,2024-01-19,7,568.96
9338,7061,960,2024-01-04,9,481.59
4723,1236,477,2024-02-10,8,533.84
2490,297,1327,2024-04-26,5,429.65
16482,6365,157,2024-03-04,1,35.6
4182,6586,1099,2024-02-02,7,135.17
13545,6793,1041,2024-03-14,1,24.04
12562,2755,217,2024-04-20,8,738.4
2707,4912,1193,2024-04-11,8,787.92
6331,133,1780,2024-06-11,9,457.65
16396,6679,219,2024-02-02,5,494.7
2027,1075,304,2024-03-05,1,66.21
11102,5822,1467,2024-03-01,6,466.5
10606,8306,537,2024-01-22,5,270.9
13599,3145,993,2024-06-06,10,245.7
457,1695,1496,2024-02-18,1,27.77
15648,7461,332,2024-06-04,6,443.58
14865,3868,269,2024-04-25,9,429.03
9360,9498,17,2024-04-26,7,279.16
9361,4577,1705,2024-04-28,8,548.56
17549,2862,465,2024-05-06,10,462.0
461,519,906,2024-03-05,4,270.48
9068,9127,1177,2024-02-06,1,14.78
5513,6669,1546,2024-05-13,8,233.44
2896,7670,117,2024-05-29,4,289.36
17696,3230,1757,2024-02-05,7,527.59
1622,8363,842,2024-06-15,8,661.76
16498,4759,86,2024-01-26,3,139.35
15483,7983,484,2024-03-22,10,306.9
13625,204,1351,2024-06-12,5,331.5
5674,5002,561,2024-06-12,9,313.65
1430,6004,795,2024-02-29,6,549.48
2527,1083,1248,2024-01-28,6,493.44
10252,3903,1374,2024-01-21,6,75.24
5916,541,1242,2024-04-25,4,398.56
4435,6656,1949,2024-02-26,10,675.4
17507,1036,1072,2024-03-11,4,286.4
19039,6779,521,2024-01-01,5,179.7
11037,2640,856,2024-02-24,8,795.92
3563,2107,1811,2024-02-06,3,92.22
14181,2468,700,2024-04-26,10,242.2
15668,2971,386,2024-01-12,4,193.36
3662,8345,1692,2024-06-11,3,113.91
6990,8585,561,2024-01-07,6,209.1
14594,3784,1009,2024-04-30,8,302.24
15107,3730,208,2024-02-03,8,468.24
6286,422,1716,2024-02-29,6,146.76
8778,8249,230,2024-03-13,9,332.46
15606,1382,1945,2024-02-03,3,216.87
4317,5020,923,2024-03-23,2,81.64
18374,5266,1572,2024-05-23,8,734.72
6769,8336,1779,2024-05-18,9,122.67
10152,1253,663,2024-05-26,7,320.32
19526,7810,282,2024-03-29,10,395.0
6387,5742,1793,2024-01-18,6,217.86
4770,6580,1410,2024-05-04,4,394.56
17138,4368,1085,2024-05-30,5,391.65
5270,3454,480,2024-06-07,2,50.74
16079,4266,1185,2024-01-05,1,81.26
19951,813,65,2024-05-09,2,142.1
4153,4992,1720,2024-01-06,4,278.08
5787,9591,1253,2024-06-14,9,300.78
17170,7822,1905,2024-01-20,8,245.76
12432,8345,1312,2024-04-05,1,98.45
19221,3045,1837,2024-01-08,1,92.92
2301,907,452,2024-01-27,6,223.32
12433,621,252,2024-03-15,4,221.48
15762,527,970,2024-04-12,7,432.25
5853,6486,263,2024-01-16,1,21.78
4267,9800,247,2024-03-04,1,90.99
11714,4137,50,2024-05-10,3,295.92
6490,4269,1343,2024-02-12,4,46.96
15129,1942,110,2024-05-05,10,829.0
16580,2934,629,2024-04-20,9,604.71
3856,1401,1411,2024-03-10,10,607.8
19569,471,1441,2024-03-26,9,712.44
17190,9828,1003,2024-01-10,9,770.22
682,1181,1509,2024-04-03,1,57.32
7389,6470,432,2024-02-17,9,432.72
1595,9717,20,2024-06-15,10,623.0
6253,3508,1833,2024-03-06,4,189.72
10632,206,986,2024-02-26,2,116.8
1684,9322,1339,2024-03-16,3,127.68
7322,6791,615,2024-05-21,5,206.8
1611,7023,1707,2024-01-21,10,897.6
7680,9420,44,2024-03-07,6,364.32
17247,7350,786,2024-05-07,9,379.26
10056,8625,636,2024-01-16,5,330.55
4306,6513,1964,2024-01-11,10,877.9
5199,9010,1009,2024-04-21,9,340.02
13848,8675,472,2024-05-16,6,379.74
3254,9510,852,2024-04-03,6,174.18
9366,3519,71,2024-02-29,5,218.65
4006,4129,1163,2024-01-24,8,615.76
216,4324,1702,2024-05-20,6,482.4
13351,2531,46,2024-03-29,4,287.32
17667,9928,1065,2024-04-18,3,95.22
197,7978,1530,2024-04-30,8,739.92
19248,4359,1236,2024-01-15,3,150.21
2154,1331,1598,2024-04-12,9,583.11
1538,4238,1668,2024-01-15,4,234.76
4012,6066,57,2024-02-16,6,580.86
1022,8154,836,2024-02-07,4,209.6
15548,2071,1145,2024-01-22,10,131.0
3913,7310,1736,2024-02-19,1,64.96
5818,7474,1824,2024-04-28,8,552.48
4609,1031,396,2024-01-01,8,486.8
5882,4159,751,2024-05-16,7,418.88
3289,3703,1790,2024-03-19,9,262.8
18156,4238,659,2024-06-13,8,247.2
7649,8978,253,2024-03-28,8,462.24
18086,704,1103,2024-01-26,3,36.21
11841,8836,646,2024-02-09,3,241.2
6485,4845,1249,2024-01-05,8,227.04
15740,8720,1998,2024-04-13,2,52.98
19279,2727,1364,2024-05-22,1,91.17
9486,8783,846,2024-02-12,6,582.72
18860,6314,1141,2024-01-07,8,91.76
9257,3221,1765,2024-02-16,8,638.48
924,9821,613,2024-04-02,8,615.2
18872,7917,1422,2024-04-04,2,99.76
10173,4122,1194,2024-04-20,7,481.88
17381,6702,611,2024-05-23,2,61.06
13630,1267,1605,2024-04-09,1,89.52
626,7430,710,2024-02-27,3,88.68
16009,2113,145,2024-02-10,3,209.88
1260,629,35,2024-05-20,8,487.68
19029,3892,196,2024-02-03,3,161.43
3762,3680,1054,2024-03-01,2,174.48
15574,1258,1843,2024-05-19,6,161.4
7294,4885,1411,2024-06-07,3,182.34
10788,5326,1319,2024-06-16,1,95.04
10223,1394,1383,2024-01-23,6,270.6
1463,8725,1811,2024-04-18,3,92.22
6262,6925,1197,2024-01-22,6,422.94
19639,3955,1998,2024-02-19,6,158.94
15775,3508,720,2024-02-02,5,282.1
8417,4614,187,2024-01-08,8,122.16
9458,3039,717,2024-02-27,8,587.44
9269,3447,1949,2024-05-14,3,202.62
4271,3681,970,2024-01-03,2,123.5
4584,3457,1767,2024-04-25,7,101.01
8250,98,1767,2024-02-22,9,129.87
207,6546,136,2024-06-05,2,152.32
1396,144,415,2024-01-20,2,58.18
1576,2531,963,2024-03-01,2,109.0
9272,2972,1044,2024-04-06,9,357.84
12154,2264,570,2024-06-03,5,398.35
3403,8513,1784,2024-01-15,4,369.84
18090,821,1305,2024-04-15,2,140.4
8520,2746,924,2024-01-30,9,230.85
18102,1301,492,2024-02-03,2,56.82
12266,3583,1640,2024-01-17,4,62.36
10472,110,809,2024-04-11,6,547.5
16677,9451,1017,2024-03-03,7,666.4
11811,1774,81,2024-05-30,6,82.44
7794,6186,1993,2024-06-14,2,153.82
14379,2892,946,2024-04-23,1,23.38
8635,5050,1242,2024-05-06,2,199.28
10273,5311,1065,2024-05-17,7,222.18
16780,656,1378,2024-06-13,8,261.2
16725,2089,541,2024-05-12,1,60.22
9744,7229,1320,2024-04-20,4,273.16
7720,6539,288,2024-05-12,6,446.04
5837,329,625,2024-04-28,9,125.37
7744,5382,1677,2024-04-30,3,114.33
1278,380,217,2024-02-01,7,646.1
15804,1099,1558,2024-06-03,8,151.12
16908,5542,156,2024-06-12,10,531.9
931,423,1471,2024-01-30,5,181.4
11120,4838,760,2024-03-11,8,792.08
13021,8615,541,2024-02-05,9,541.98
526,5311,1085,2024-05-23,8,626.64
1673,5015,1972,2024-01-08,3,143.25
13147,7352,894,2024-04-10,9,193.41
12299,3402,1444,2024-05-22,2,112.64
15366,8427,141,2024-02-11,2,129.72
2558,1007,1341,2024-01-25,6,547.38
4205,411,1868,2024-03-23,5,309.6
4297,3704,154,2024-03-23,9,447.3
15936,3858,1517,2024-01-02,10,457.1
13564,7537,680,2024-05-05,4,190.0
6706,8822,46,2024-03-29,6,430.98
13570,5282,1348,2024-03-15,10,405.2
1945,7812,1072,2024-05-23,10,716.0
15101,3227,985,2024-02-18,8,252.24
902,4548,1713,2024-04-29,3,187.86
4991,8809,1822,2024-06-13,10,479.7
13414,1148,1162,2024-02-12,2,102.2
16236,839,1545,2024-05-13,2,104.68
10433,2933,156,2024-06-11,6,319.14
1422,6852,1279,2024-03-24,2,111.82
15105,1518,220,2024-01-18,5,84.1
2579,258,87,2024-03-02,2,132.12
5118,7694,1964,2024-06-21,2,175.58
16462,2259,82,2024-01-03,10,882.5
1912,7804,1962,2024-04-19,5,388.95
45,2539,885,2024-02-16,8,251.68
18078,6473,835,2024-05-01,9,583.02
9335,3101,1988,2024-02-29,7,593.67
4173,1571,1871,2024-06-19,5,188.45
15459,748,596,2024-04-03,5,403.0
15595,886,680,2024-04-20,10,475.0
4065,8280,1971,2024-04-09,5,421.65
16049,959,613,2024-05-10,3,230.7
19676,3847,1620,2024-03-18,9,483.39
9009,685,595,2024-06-13,5,86.9
6659,7189,318,2024-04-25,8,738.56
3721,9059,1660,2024-03-08,5,256.15
15857,7109,207,2024-06-13,4,238.4
13240,4265,668,2024-06-06,3,125.22
18917,9856,1495,2024-04-26,2,131.9
6028,5645,596,2024-03-10,6,483.6
19922,8431,451,2024-05-15,4,207.52
14184,4767,214,2024-01-04,6,305.28
17681,3404,1697,2024-01-23,9,102.06
17931,3071,1218,2024-05-12,7,261.31
10503,1344,1034,2024-04-15,7,275.31
17454,1164,262,2024-06-11,9,338.22
7972,3512,387,2024-01-14,3,294.96
9704,5696,208,2024-05-29,6,351.18
12185,4321,1085,2024-01-24,8,626.64
18432,8612,930,2024-05-21,5,316.55
17867,6337,1365,2024-01-16,9,168.48
4210,2969,274,2024-05-04,4,253.6
14937,237,467,2024-05-08,6,396.24
15040,3173,1497,2024-03-29,6,500.82
5743,1350,1142,2024-02-23,9,233.28
6106,9409,1805,2024-02-29,4,363.4
12720,5561,1374,2024-05-28,7,87.78
19050,2149,616,2024-05-26,1,70.07
4268,8190,627,2024-02-02,5,456.75
5342,2618,1660,2024-05-05,2,102.46
16686,5110,75,2024-01-27,10,919.8
2307,3662,288,2024-01-04,7,520.38
18899,4239,1752,2024-02-11,5,190.75
169,3186,796,2024-01-30,10,575.1
11164,2898,1887,2024-06-14,3,290.85
14857,5497,360,2024-04-17,4,155.68
3030,1135,394,2024-06-18,2,162.38
7381,6908,1082,2024-04-01,7,345.31
7301,9935,1405,2024-02-27,8,246.32
16071,7211,925,2024-05-24,8,680.56
2660,1096,1085,2024-03-26,3,234.99
6672,354,1509,2024-04-15,5,286.6
2889,6886,1140,2024-01-20,7,170.87
6260,8183,420,2024-06-17,1,59.86
17593,1829,1429,2024-02-24,8,553.52
10282,3882,760,2024-03-23,5,495.05
14237,2370,1917,2024-01-14,10,365.6
9190,3954,1391,2024-03-02,7,581.98
8562,5106,1343,2024-05-25,6,70.44
2118,6314,1264,2024-01-28,3,263.94
1380,6007,831,2024-01-24,5,87.65
8965,1975,1277,2024-03-09,6,238.2
3364,1891,1866,2024-06-24,4,149.04
18098,8950,1699,2024-04-28,7,85.19
18834,5631,1467,2024-03-26,9,699.75
8490,6404,1046,2024-01-14,9,490.41
5424,1563,848,2024-04-23,1,38.62
18607,5055,426,2024-03-03,6,250.74
6667,1642,1572,2024-04-02,5,459.2
4637,1827,1412,2024-02-27,6,371.64
8587,9615,438,2024-04-17,2,174.74
14436,3453,946,2024-05-14,10,233.8
18146,6427,1771,2024-04-02,4,370.64
11808,5841,809,2024-03-19,4,365.0
3555,7922,457,2024-04-23,5,165.3
16074,6132,1273,2024-02-20,9,737.82
13520,6030,140,2024-06-12,8,380.48
343,650,1416,2024-01-12,5,103.25
8077,5677,1511,2024-03-20,1,18.53
53,5136,1545,2024-04-08,9,471.06
1057,8198,1565,2024-02-06,2,68.94
18422,6689,453,2024-05-07,3,187.86
16834,6358,1768,2024-02-05,9,112.32
8875,9154,1635,2024-06-21,4,161.16
3986,976,767,2024-05-23,9,212.49
10550,4882,197,2024-03-02,3,161.58
7359,7200,253,2024-03-02,10,577.8
310,3999,736,2024-04-28,3,65.22
13815,4072,1061,2024-05-13,8,403.04
12393,145,1785,2024-05-12,2,155.22
10529,4286,1025,2024-06-17,2,89.32
16028,9681,836,2024-03-23,7,366.8
282,2374,176,2024-04-30,9,450.09
10414,9545,1247,2024-06-15,2,199.88
1311,304,772,2024-03-14,6,548.82
16685,4870,1985,2024-01-06,7,119.0
2744,2778,1010,2024-01-19,1,27.01
13508,8696,424,2024-03-20,1,80.46
1034,6137,1528,2024-03-14,6,591.18
4453,3706,1423,2024-06-22,9,652.41
18548,3580,865,2024-06-02,6,489.42
7196,2171,117,2024-03-06,5,361.7
5326,1008,1954,2024-04-04,8,301.44
15479,7808,783,2024-03-30,5,221.4
18087,1932,1687,2024-03-24,5,401.3
14706,2889,1468,2024-05-22,7,77.91
9438,1299,414,2024-04-30,2,189.46
5305,4921,14,2024-02-03,8,522.16
19718,9337,1556,2024-03-10,4,319.04
1163,9403,1007,2024-06-05,5,80.3
7652,2382,738,2024-02-02,5,287.45
11927,6025,1263,2024-04-27,7,580.23
3048,2010,1511,2024-01-13,3,55.59
7130,6522,1915,2024-05-09,1,29.3
15905,1488,226,2024-06-10,6,431.28
15665,2520,1509,2024-03-03,6,343.92
4429,7972,1351,2024-05-31,4,265.2
5869,9632,1752,2024-03-18,2,76.3
18381,3406,1767,2024-03-06,5,72.15
14156,895,117,2024-01-20,10,723.4
5245,781,1446,2024-01-08,10,605.5
10675,9240,485,2024-04-21,3,128.31
17912,165,835,2024-01-29,3,194.34
4361,3932,1535,2024-05-15,3,143.43
19229,8071,1036,2024-01-13,6,384.84
